Alpha,cl,,
-14.8,-0.1365107,,
-14.7,-0.1297397,,
-14.6,-0.1229852,,
-14.5,-0.1162138,,
-14.4,-0.1094083,,
-14.3,-0.102517,,
-13.5,-0.04895888,,
-13.4,-0.04101612,,
-13.3,-0.03301405,,
-13.2,-0.02494064,,
-13.1,-0.01678742,,
-13,-0.008547922,,
-12.9,-0.0002179529,,
-12.8,0.004759925,,
-12.7,0.009494128,,
-12.6,0.01598413,,
-12.5,0.02310673,,
-12.4,0.0306215,,
-12.3,0.0384258,,
-12.2,0.04646709,,
-12.1,0.05470505,,
-12,0.05204813,,
-11.9,0.05824684,,
-11.8,0.06535051,,
-11.7,0.06967072,,
-11.6,0.07574248,,
-11.5,0.08358322,,
-11.4,0.09257924,,
-11.3,0.1025603,,
-11.2,0.1134987,,
-11,0.1365998,,
-10.9,0.1494513,,
-10.8,0.163715,,
-10.7,0.1796067,,
-10.6,0.1971602,,
-10.5,0.2156736,,
-10.4,0.2344586,,
-10.3,0.2508565,,
-10.2,0.2667046,,
-10.1,0.2812462,,
-10,0.2937856,,
-9.9,0.2993835,,
-9.8,0.3049339,,
-9.7,0.3106215,,
-9.6,0.3162844,,
-9.5,0.3201975,,
-9.4,0.3231995,,
-9.3,0.3265953,,
-9.2,0.3302999,,
-9.1,0.3342301,,
-9,0.3383437,,
-8.9,0.3427443,,
-8.8,0.3471126,,
-8.7,0.3499931,,
-8.6,0.353035,,
-8.5,0.3562254,,
-8.4,0.3595029,,
-8.3,0.3628592,,
-8.2,0.3662905,,
-8.1,0.3697709,,
-8,0.3732905,,
-7.9,0.3769204,,
-7.8,0.3809555,,
-7.7,0.3858013,,
-7.6,0.3892859,,
-7.5,0.391906,,
-7.4,0.3944914,,
-7.3,0.3970277,,
-7.2,0.3994905,,
-7.1,0.4018548,,
-7,0.4041265,,
-6.9,0.4063512,,
-6.8,0.4085484,,
-6.7,0.4111075,,
-6.6,0.4145596,,
-6.5,0.4184104,,
-6.4,0.4224894,,
-6.3,0.4269717,,
-6.2,0.4320061,,
-6.1,0.4378114,,
-5.9,0.4366005,,
-5.8,0.4388356,,
-5.7,0.4423388,,
-5.6,0.4463587,,
-5.5,0.4506773,,
-5.4,0.4552268,,
-5.3,0.4599506,,
-5.2,0.4648213,,
-5.1,0.4698467,,
-5,0.4750432,,
-4.9,0.4804148,,
-4.8,0.4860325,,
-4.7,0.4919363,,
-4.6,0.4981405,,
-4.5,0.5046413,,
-4.4,0.5115461,,
-4.3,0.5189865,,
-4.2,0.5269794,,
-4.1,0.535544,,
-4,0.5449197,,
-3.9,0.5555506,,
-3.8,0.568113,,
-3.7,0.5867018,,
-3.6,0.6138927,,
-3.5,0.6313345,,
-3.4,0.6473433,,
-3.3,0.6607784,,
-3.2,0.6744035,,
-3.1,0.6883318,,
-3,0.702756,,
-2.9,0.7176419,,
-2.5,0.7635377,,
-2.4,0.7763097,,
-2.3,0.7908097,,
-2.2,0.8066874,,
-2.1,0.8240358,,
-2,0.842968,,
-1.9,0.8645282,,
-1.7,0.9353754,,
-1.6,0.9502538,,
-1.5,0.9641126,,
-1.4,0.9769356,,
-1.3,0.9896523,,
-1.2,1.00253,,
-1.1,1.015425,,
-1,1.028057,,
-0.9,1.040447,,
-0.8,1.052315,,
-0.7,1.066495,,
-0.6,1.080243,,
-0.5,1.092994,,
-0.4,1.104848,,
-0.3,1.115976,,
-0.2,1.126738,,
-0.1,1.139058,,
0,1.150732,,
0.1,1.161832,,
0.2,1.172116,,
0.3,1.182893,,
0.4,1.193312,,
0.5,1.203556,,
0.6,1.214056,,
0.7,1.224665,,
0.8,1.235055,,
0.9,1.245424,,
1,1.256351,,
1.1,1.26691,,
1.2,1.277601,,
1.3,1.288369,,
1.4,1.299248,,
1.5,1.30991,,
1.6,1.317869,,
1.8,1.334703,,
1.9,1.345331,,
2,1.356015,,
2.1,1.366743,,
2.2,1.377494,,
2.3,1.388286,,
2.4,1.39916,,
2.5,1.410151,,
2.6,1.421262,,
2.7,1.432351,,
2.8,1.44279,,
2.9,1.452646,,
3,1.462417,,
3.1,1.472112,,
3.2,1.481738,,
3.3,1.491304,,
3.4,1.500815,,
3.5,1.510264,,
3.6,1.519668,,
3.7,1.529043,,
3.8,1.538402,,
3.9,1.547765,,
4,1.557145,,
4.1,1.566559,,
4.2,1.576015,,
4.3,1.585515,,
4.4,1.595055,,
4.5,1.604633,,
4.6,1.614232,,
4.7,1.623846,,
4.8,1.633466,,
4.9,1.643076,,
5,1.652656,,
5.1,1.662184,,
5.2,1.67165,,
5.3,1.681116,,
5.4,1.690758,,
5.5,1.700464,,
5.6,1.710249,,
5.7,1.720171,,
5.8,1.730303,,
5.9,1.740708,,
6,1.751296,,
6.1,1.760634,,
6.2,1.768565,,
6.3,1.776292,,
6.4,1.783832,,
6.5,1.791213,,
6.6,1.798475,,
6.7,1.805671,,
6.8,1.812837,,
6.9,1.819999,,
7,1.827128,,
7.1,1.834218,,
7.2,1.841159,,
7.3,1.847857,,
7.4,1.854539,,
7.5,1.861222,,
7.6,1.867949,,
7.7,1.874751,,
7.8,1.881639,,
7.9,1.888602,,
8,1.895618,,
8.1,1.902589,,
8.2,1.909443,,
8.3,1.916121,,
8.4,1.922783,,
8.5,1.930053,,
8.6,1.937575,,
8.7,1.94544,,
8.8,1.953871,,
8.9,1.963158,,
9,1.973588,,
9.1,1.985048,,
9.2,1.989644,,
9.3,1.992798,,
9.4,1.995622,,
9.5,1.997887,,
9.6,1.999983,,
9.7,2.002166,,
9.8,2.004438,,
9.9,2.006436,,
10,2.00852,,
10.1,2.011031,,
10.2,2.013972,,
10.3,2.017218,,
10.4,2.02044,,
10.5,2.023664,,
10.6,2.027198,,
10.7,2.031101,,
10.8,2.035247,,
10.9,2.039442,,
11,2.04343,,
11.1,2.047934,,
11.2,2.052909,,
11.3,2.058235,,
11.4,2.064169,,
11.5,2.071184,,
11.6,2.080084,,
11.7,2.091469,,
11.8,2.09178,,
11.9,2.089831,,
12,2.08695,,
12.1,2.083392,,
12.2,2.080554,,
12.3,2.077641,,
12.4,2.073695,,
12.5,2.071161,,
12.6,2.069818,,
12.7,2.068777,,
12.8,2.067004,,
12.9,2.06648,,
13,2.06693,,
13.1,2.067959,,
13.2,2.070466,,
13.3,2.074107,,
13.4,2.077946,,
13.5,2.082909,,
13.6,2.095165,,
13.7,2.096636,,
13.8,2.087914,,
13.9,2.08056,,
14,2.072631,,
14.1,2.063769,,
14.2,2.058007,,
14.3,2.053772,,
14.4,2.04983,,
14.5,2.046245,,
14.6,2.04623,,
14.7,2.047404,,
14.8,2.048038,,
14.9,2.052227,,
15,2.051349,,
15.1,2.043838,,
15.2,2.033105,,
15.3,2.024167,,
15.4,2.017932,,
15.5,2.013204,,
15.6,2.00973,,
15.7,2.006204,,
15.8,2.000774,,
15.9,1.996984,,
16,1.996272,,
16.1,1.991083,,
16.2,1.985226,,
16.3,1.979431,,
16.4,1.973759,,
16.5,1.964867,,
16.6,1.959315,,
16.7,1.955977,,
16.8,1.95241,,
16.9,1.948977,,
17,1.946874,,
17.1,1.94367,,
17.2,1.940008,,
17.3,1.935652,,
17.4,1.927089,,
17.5,1.921276,,
17.6,1.917452,,
17.7,1.913518,,
17.8,1.909075,,
17.9,1.906767,,
18,1.904751,,
18.1,1.901988,,
18.2,1.897946,,
18.3,1.892513,,
18.4,1.883551,,
18.5,1.877491,,
18.6,1.872012,,
18.7,1.868484,,
18.8,1.8676,,
18.9,1.865887,,
19,1.863084,,
19.1,1.858944,,
19.2,1.853265,,
19.3,1.846364,,
19.4,1.837608,,
19.5,1.833913,,
19.6,1.831941,,
19.7,1.828889,,
19.8,1.824407,,
19.9,1.81845,,
20,1.81154,,
20.1,1.807317,,
20.2,1.803041,,
20.3,1.796097,,
20.4,1.787375,,
20.5,1.779232,,
20.6,1.77342,,
20.7,1.76692,,
20.8,1.758491,,
20.9,1.75026,,
21,1.74239,,
21.1,1.733039,,
21.2,1.723756,,
21.3,1.716056,,
21.4,1.707792,,
21.5,1.70044,,
21.6,1.693791,,
21.7,1.686596,,
21.8,1.677192,,
21.9,1.670875,,
22,1.667913,,
22.1,1.665354,,
22.2,1.662988,,
22.3,1.660737,,
22.4,1.658573,,
22.5,1.656414,,
22.6,1.654191,,
22.7,1.651899,,
22.8,1.649506,,
22.9,1.646991,,
23,1.644365,,
23.1,1.640376,,
23.2,1.637348,,
23.3,1.635214,,
23.4,1.633492,,
23.5,1.632096,,
23.6,1.630959,,
23.7,1.630044,,
23.8,1.629293,,
23.9,1.628713,,
24,1.628272,,
24.1,1.627898,,
24.2,1.627693,,
24.3,1.627452,,
24.4,1.627262,,
24.5,1.627124,,
24.6,1.627017,,
24.7,1.626905,,
24.8,1.626439,,
24.9,1.625869,,
25,1.625166,,

