Alphah,T1_Re0.270_M0.04_N9.0,,Alpha,cl,,
-14.8,-0.1365107,,-15,-0.1359804,,
-14.7,-0.1297397,,-14.9,-0.1286602,,
-14.6,-0.1229852,,-14.8,-0.1212502,,
-14.5,-0.1162138,,-14.7,-0.113738,,
-14.4,-0.1094083,,-14.6,-0.1061178,,
-14.3,-0.102517,,-14.5,-0.09840196,,
-13.5,-0.04895888,,-14.4,-0.09062926,,
-13.4,-0.04101612,,-14.3,-0.08286731,,
-13.3,-0.03301405,,-14.2,-0.07520792,,
-13.2,-0.02494064,,-14.1,-0.06954108,,
-13.1,-0.01678742,,-14,-0.06390064,,
-13,-0.008547922,,-13.9,-0.0578617,,
-12.9,-0.0002179529,,-13.8,-0.05130848,,
-12.8,0.004759925,,-13.7,-0.04460221,,
-12.7,0.009494128,,-13.6,-0.03778409,,
-12.6,0.01598413,,-13.5,-0.03071312,,
-12.5,0.02310673,,-13.4,-0.02350965,,
-12.4,0.0306215,,-13.3,-0.01621973,,
-12.3,0.0384258,,-13.2,-0.00889131,,
-12.2,0.04646709,,-13.1,-0.00143351,,
-12.1,0.05470505,,-12.8,0.005943151,,
-12,0.05204813,,-12.7,0.01273738,,
-11.9,0.05824684,,-12.6,0.02051844,,
-11.8,0.06535051,,-12.5,0.02847685,,
-11.7,0.06967072,,-12.4,0.0365986,,
-11.6,0.07574248,,-12.3,0.04487753,,
-11.5,0.08358322,,-12.2,0.05330852,,
-11.4,0.09257924,,-12.1,0.04923569,,
-11.3,0.1025603,,-12,0.05550991,,
-11.2,0.1134987,,-11.9,0.06290419,,
-11,0.1365998,,-11.8,0.06693851,,
-10.9,0.1494513,,-11.7,0.0744367,,
-10.8,0.163715,,-11.6,0.08345872,,
-10.7,0.1796067,,-11.5,0.09367184,,
-10.6,0.1971602,,-11.4,0.105013,,
-10.5,0.2156736,,-11.3,0.1174632,,
-10.4,0.2344586,,-11.2,0.1301108,,
-10.3,0.2508565,,-11.1,0.1439286,,
-10.2,0.2667046,,-11,0.1591839,,
-10.1,0.2812462,,-10.9,0.1760445,,
-10,0.2937856,,-10.8,0.194591,,
-9.9,0.2993835,,-10.7,0.2141339,,
-9.8,0.3049339,,-10.6,0.233495,,
-9.7,0.3106215,,-10.5,0.2501315,,
-9.6,0.3162844,,-10.4,0.2651598,,
-9.5,0.3201975,,-10.3,0.2789909,,
-9.4,0.3231995,,-10.2,0.2904074,,
-9.3,0.3265953,,-10.1,0.2969342,,
-9.2,0.3302999,,-10,0.3032658,,
-9.1,0.3342301,,-9.9,0.3094843,,
-9,0.3383437,,-9.8,0.3151746,,
-8.9,0.3427443,,-9.7,0.3185143,,
-8.8,0.3471126,,-9.6,0.3221724,,
-8.7,0.3499931,,-9.5,0.3260859,,
-8.6,0.353035,,-9.4,0.330176,,
-8.5,0.3562254,,-9.3,0.3341935,,
-8.4,0.3595029,,-9.2,0.3382914,,
-8.3,0.3628592,,-9.1,0.3414812,,
-8.2,0.3662905,,-9,0.34405,,
-8.1,0.3697709,,-8.9,0.3466611,,
-8,0.3732905,,-8.8,0.3493163,,
-7.9,0.3769204,,-8.7,0.3520399,,
-7.8,0.3809555,,-8.6,0.3547965,,
-7.7,0.3858013,,-8.5,0.3579071,,
-7.6,0.3892859,,-8.4,0.3613028,,
-7.5,0.391906,,-8.3,0.3648274,,
-7.4,0.3944914,,-8.2,0.368919,,
-7.3,0.3970277,,-8.1,0.3734106,,
-7.2,0.3994905,,-8,0.3765151,,
-7.1,0.4018548,,-7.9,0.3796691,,
-7,0.4041265,,-7.8,0.3828444,,
-6.9,0.4063512,,-7.7,0.3859962,,
-6.8,0.4085484,,-7.6,0.3891263,,
-6.7,0.4111075,,-7.5,0.3922372,,
-6.6,0.4145596,,-7.4,0.3952987,,
-6.5,0.4184104,,-7.3,0.3982889,,
-6.4,0.4224894,,-7.2,0.4011834,,
-6.3,0.4269717,,-7.1,0.403958,,
-6.2,0.4320061,,-7,0.4065997,,
-6.1,0.4378114,,-6.9,0.4091471,,
-5.9,0.4366005,,-6.8,0.4117685,,
-5.8,0.4388356,,-6.7,0.4148093,,
-5.7,0.4423388,,-6.6,0.4186705,,
-5.6,0.4463587,,-6.5,0.4226783,,
-5.5,0.4506773,,-6.4,0.4260888,,
-5.4,0.4552268,,-6.3,0.4297234,,
-5.3,0.4599506,,-6.2,0.4335609,,
-5.2,0.4648213,,-6.1,0.4375687,,
-5.1,0.4698467,,-6,0.4417928,,
-5,0.4750432,,-5.9,0.4462287,,
-4.9,0.4804148,,-5.8,0.4508302,,
-4.8,0.4860325,,-5.7,0.4556475,,
-4.7,0.4919363,,-5.6,0.4607126,,
-4.6,0.4981405,,-5.5,0.465983,,
-4.5,0.5046413,,-5.4,0.4714497,,
-4.4,0.5115461,,-5.3,0.4772258,,
-4.3,0.5189865,,-5.2,0.4833021,,
-4.2,0.5269794,,-5.1,0.489593,,
-4.1,0.535544,,-5,0.4961735,,
-4,0.5449197,,-4.9,0.5030814,,
-3.9,0.5555506,,-4.8,0.4972559,,
-3.8,0.568113,,-4.7,0.5025293,,
-3.7,0.5867018,,-4.6,0.5087038,,
-3.6,0.6138927,,-4.5,0.5151112,,
